None,Open,High,Low,Close,Volume,year,month,day,days_difference,increased
0,39.633,39.84,39.12,39.435,140013864.0,2018,12,31,118,0
1,39.375,39.63,38.638,39.057,169165696.0,2018,12,28,115,0
2,38.96,39.193,37.517,39.038,212468260.0,2018,12,27,114,1
3,37.075,39.307,36.68,39.292,234330176.0,2018,12,26,113,1
4,37.038,37.888,36.648,36.708,148676928.0,2018,12,24,111,0
5,39.215,39.54,37.407,37.682,382977536.0,2018,12,21,108,0
6,40.1,40.528,38.825,39.208,259091840.0,2018,12,20,107,0
7,41.5,41.862,39.773,40.222,196189188.0,2018,12,19,106,0
8,41.345,41.883,41.097,41.517,135366072.0,2018,12,18,105,1
9,41.362,42.087,40.682,40.985,177151688.0,2018,12,17,104,0
10,42.25,42.27,41.32,41.37,162814840.0,2018,12,14,101,0
11,42.623,43.142,42.388,42.737,127591308.0,2018,12,13,100,1
12,42.6,42.98,42.255,42.275,142510696.0,2018,12,12,99,0
13,42.915,42.947,41.75,42.157,189126660.0,2018,12,11,98,0
14,41.25,42.523,40.833,42.4,248103976.0,2018,12,10,97,1
15,43.373,43.623,42.075,42.123,169126524.0,2018,12,7,94,0
16,42.94,43.695,42.605,43.68,172393640.0,2018,12,6,93,1
17,45.237,45.597,44.068,44.172,165377128.0,2018,12,4,91,0
18,46.115,46.235,45.303,46.205,163192008.0,2018,12,3,90,1
19,45.072,45.083,44.258,44.645,158126196.0,2018,11,30,87,0
20,45.665,45.7,44.425,44.888,167079968.0,2018,11,29,86,0
21,44.182,45.322,43.733,45.235,184250156.0,2018,11,28,85,1
22,42.877,43.693,42.72,43.56,165549508.0,2018,11,27,84,1
23,43.56,43.737,42.565,43.655,179994080.0,2018,11,26,83,1
24,43.735,44.149,43.025,43.072,94495888.0,2018,11,23,80,0
25,44.932,45.068,44.138,44.195,124496840.0,2018,11,21,78,0
26,44.593,45.367,43.877,44.245,271300988.0,2018,11,20,77,0
27,47.5,47.675,46.248,46.465,167683488.0,2018,11,19,76,0
28,47.625,48.742,47.365,48.383,147713012.0,2018,11,16,73,1
29,47.097,47.992,46.725,47.852,185915204.0,2018,11,15,72,1
30,48.475,48.62,46.483,46.7,243203828.0,2018,11,14,71,0
31,47.907,49.295,47.862,48.057,187531744.0,2018,11,13,70,1
32,49.75,49.962,48.447,48.542,204542072.0,2018,11,12,69,0
33,51.388,51.502,50.562,51.117,137463000.0,2018,11,9,66,0
34,52.495,52.53,51.688,52.123,101450544.0,2018,11,8,65,0
35,51.492,52.515,51.032,52.487,133697736.0,2018,11,7,64,1
36,50.48,51.18,50.422,50.943,127531524.0,2018,11,6,63,1
37,51.075,51.097,49.542,50.398,264654676.0,2018,11,5,62,0
38,52.388,53.413,51.358,51.87,365314616.0,2018,11,2,59,0
39,54.763,55.59,54.203,55.555,233292720.0,2018,11,1,58,1
40,54.22,55.112,54.155,54.715,153435732.0,2018,10,31,57,1
41,52.788,53.795,52.318,53.325,146639960.0,2018,10,30,56,1
42,54.797,54.922,51.523,53.06,183742080.0,2018,10,29,55,0
43,53.975,55.047,53.167,54.075,189033500.0,2018,10,26,52,1
44,54.428,55.345,54.188,54.95,119423072.0,2018,10,25,51,1
45,55.65,56.057,53.635,53.773,163700652.0,2018,10,24,50,0
46,53.958,55.812,53.675,55.682,155071384.0,2018,10,23,49,1
47,54.947,55.84,54.735,55.163,115168328.0,2018,10,22,48,1
48,54.515,55.315,54.358,54.828,132314904.0,2018,10,19,45,1
49,54.465,54.935,53.25,54.005,130325260.0,2018,10,18,44,0
50,55.575,55.66,54.835,55.297,91541588.0,2018,10,17,43,0
51,54.733,55.748,54.191,55.538,116735852.0,2018,10,16,42,1
52,55.29,55.458,54.318,54.34,123164028.0,2018,10,15,41,0
53,55.105,55.72,54.21,55.528,161351404.0,2018,10,12,38,1
54,53.63,54.875,53.08,53.612,212497568.0,2018,10,11,37,0
55,56.365,56.587,54.013,54.09,167962216.0,2018,10,10,36,0
56,55.91,56.818,55.562,56.718,107564116.0,2018,10,9,35,1
57,55.553,56.2,55.05,55.943,118655692.0,2018,10,8,34,1
58,56.99,57.102,55.145,56.072,134321852.0,2018,10,5,31,0
59,57.695,58.087,56.682,56.998,128168000.0,2018,10,4,30,0
60,57.513,58.367,57.445,58.017,114619196.0,2018,10,3,29,1
61,56.812,57.5,56.657,57.32,99152680.0,2018,10,2,28,1
62,56.987,57.355,56.587,56.815,94403208.0,2018,10,1,27,0
63,56.197,56.46,56.005,56.435,91717456.0,2018,9,28,24,1
64,55.955,56.61,55.885,56.237,120724908.0,2018,9,27,23,1
65,55.25,55.938,54.94,55.105,95938824.0,2018,9,26,22,0
66,54.938,55.705,54.925,55.547,98217516.0,2018,9,25,21,1
67,54.205,55.315,54.157,55.197,110773432.0,2018,9,24,20,1
68,55.195,55.34,54.322,54.415,384986992.0,2018,9,21,17,0
69,55.06,55.57,54.788,55.008,106435176.0,2018,9,20,16,0
70,54.625,54.905,53.825,54.593,108495332.0,2018,9,19,15,0
71,54.447,55.462,54.28,54.56,126286848.0,2018,9,18,14,1
72,55.538,55.737,54.318,54.47,148780532.0,2018,9,17,13,0
73,56.438,56.71,55.63,55.96,127997156.0,2018,9,14,10,0
74,55.88,57.087,55.642,56.602,166825508.0,2018,9,13,9,1
75,56.235,56.25,54.96,55.267,197114960.0,2018,9,12,8,0
76,54.502,56.075,54.14,55.962,142996196.0,2018,9,11,7,1
77,55.237,55.462,54.117,54.583,158065812.0,2018,9,10,6,0
78,55.462,56.343,55.178,55.325,150479240.0,2018,9,7,3,0
79,56.557,56.837,55.325,55.775,137159904.0,2018,9,6,2,0
80,57.248,57.417,56.275,56.718,133331840.0,2018,9,5,1,0
81,57.102,57.295,56.657,57.09,109560528.0,2018,9,4,0,0
