,Open,High,Low,Close,Volume,year,month,day,days_difference,increased
0,173.68,175.15,166.92,168.34,38962839.0,2018,3,27,13619,0
1,168.07,173.1,166.44,172.77,36272617.0,2018,3,26,13618,1
2,168.39,169.92,164.94,164.94,40248954.0,2018,3,23,13615,0
3,170.0,172.68,168.6,168.845,41051076.0,2018,3,22,13614,0
4,175.04,175.09,171.26,171.27,35247358.0,2018,3,21,13613,0
5,175.24,176.8,174.94,175.24,19314039.0,2018,3,20,13612,0
6,177.32,177.47,173.66,175.3,32804695.0,2018,3,19,13611,0
7,178.65,179.12,177.62,178.02,36836456.0,2018,3,16,13608,0
8,178.5,180.24,178.0701,178.65,22584565.0,2018,3,15,13607,1
9,180.32,180.52,177.81,178.44,29075469.0,2018,3,14,13606,0
10,182.59,183.5,179.24,179.97,31168404.0,2018,3,13,13605,0
11,180.29,182.39,180.21,181.72,32055405.0,2018,3,12,13604,1
12,177.96,180.0,177.39,179.98,31385134.0,2018,3,9,13601,1
13,175.48,177.12,175.07,176.94,23163767.0,2018,3,8,13600,1
14,174.94,175.85,174.27,175.03,31703462.0,2018,3,7,13599,1
15,177.91,178.25,176.13,176.67,23788506.0,2018,3,6,13598,0
16,175.21,177.74,174.52,176.82,28401366.0,2018,3,5,13597,1
17,172.8,176.3,172.45,176.21,38453950.0,2018,3,2,13594,1
18,178.54,179.775,172.66,175.0,48801970.0,2018,3,1,13593,0
19,179.26,180.615,178.05,178.12,33604574.0,2018,2,28,13592,0
20,179.1,180.48,178.16,178.39,38685165.0,2018,2,27,13591,0
21,176.35,179.39,176.21,178.97,36886432.0,2018,2,26,13590,1
22,173.67,175.65,173.54,175.555,33329232.0,2018,2,23,13587,1
23,171.8,173.95,171.71,172.6,30504116.0,2018,2,22,13586,1
24,172.83,174.12,171.01,171.07,35833514.0,2018,2,21,13585,0
25,172.05,174.26,171.42,171.85,33531012.0,2018,2,20,13584,0
26,172.36,174.82,171.77,172.43,39638793.0,2018,2,16,13580,1
27,169.79,173.09,169.0,172.99,50609595.0,2018,2,15,13579,1
28,163.045,167.54,162.88,167.37,39669178.0,2018,2,14,13578,1
29,161.95,164.75,161.65,164.34,32104756.0,2018,2,13,13577,1
30,158.5,163.89,157.51,162.71,60560145.0,2018,2,12,13576,1
31,157.07,157.89,150.24,155.97,66723743.0,2018,2,9,13573,0
32,160.29,161.0,155.03,155.32,49594129.0,2018,2,8,13572,0
33,163.085,163.4,159.0685,159.54,50852130.0,2018,2,7,13571,0
34,154.83,163.72,154.0,163.03,66625484.0,2018,2,6,13570,1
35,159.1,163.88,156.0,157.49,66090446.0,2018,2,5,13569,0
36,166.0,166.8,160.1,160.37,85436075.0,2018,2,2,13566,0
37,167.165,168.62,166.76,167.78,38099665.0,2018,2,1,13565,1
38,166.87,168.4417,166.5,167.43,30984099.0,2018,1,31,13564,1
39,165.525,167.37,164.7,166.97,45137026.0,2018,1,30,13563,1
40,170.16,170.16,167.07,167.96,48434424.0,2018,1,29,13562,0
41,172.0,172.0,170.06,171.51,37121805.0,2018,1,26,13559,0
42,174.505,174.95,170.53,171.11,39661804.0,2018,1,25,13558,0
43,177.25,177.3,173.2,174.22,50562257.0,2018,1,24,13557,0
44,177.3,179.44,176.82,177.04,31702531.0,2018,1,23,13556,0
45,177.3,177.78,176.6016,177.0,26023683.0,2018,1,22,13555,0
46,178.61,179.58,177.41,178.46,30827809.0,2018,1,19,13552,0
47,179.37,180.1,178.25,179.26,30234512.0,2018,1,18,13551,0
48,176.15,179.25,175.07,179.1,32752734.0,2018,1,17,13550,1
49,177.9,179.39,176.14,176.19,29159005.0,2018,1,16,13549,0
50,176.18,177.36,175.65,177.09,25039531.0,2018,1,12,13545,1
51,174.59,175.4886,174.49,175.28,17523256.0,2018,1,11,13544,1
52,173.16,174.3,173.0,174.29,23589129.0,2018,1,10,13543,1
53,174.55,175.06,173.41,174.33,21262614.0,2018,1,9,13542,0
54,174.35,175.61,173.93,174.35,20134092.0,2018,1,8,13541,0
55,173.44,175.37,173.05,175.0,23016177.0,2018,1,5,13538,1
56,172.54,173.47,172.08,173.03,22211345.0,2018,1,4,13537,1
57,172.53,174.55,171.96,172.23,28819653.0,2018,1,3,13536,0
58,170.16,172.3,169.26,172.26,25048048.0,2018,1,2,13535,1
59,170.52,170.59,169.22,169.23,25643711.0,2017,12,29,13531,0
60,171.0,171.85,170.48,171.08,15997739.0,2017,12,28,13530,1
61,170.1,170.78,169.71,170.6,21672062.0,2017,12,27,13529,1
62,170.8,171.47,169.679,170.57,32968167.0,2017,12,26,13528,0
63,174.68,175.424,174.5,175.01,16052615.0,2017,12,22,13524,1
64,174.17,176.02,174.1,175.01,20356826.0,2017,12,21,13523,1
65,174.87,175.42,173.25,174.35,23000392.0,2017,12,20,13522,0
66,175.03,175.39,174.09,174.54,27078872.0,2017,12,19,13521,0
67,174.88,177.2,174.86,176.42,28831533.0,2017,12,18,13520,1
68,173.63,174.17,172.46,173.87,37054632.0,2017,12,15,13517,1
69,172.4,173.13,171.65,172.22,20219307.0,2017,12,14,13516,0
70,172.5,173.54,172.0,172.27,23142242.0,2017,12,13,13515,0
71,172.15,172.39,171.461,171.7,18945457.0,2017,12,12,13514,0
72,169.2,172.89,168.79,172.67,33092051.0,2017,12,11,13513,1
73,170.49,171.0,168.82,169.37,23096872.0,2017,12,8,13510,0
74,169.03,170.44,168.91,169.452,24469613.0,2017,12,7,13509,1
75,167.5,170.2047,166.46,169.01,28224357.0,2017,12,6,13508,1
76,169.06,171.52,168.4,169.64,27008428.0,2017,12,5,13507,1
77,172.48,172.62,169.63,169.8,32115052.0,2017,12,4,13506,0
78,169.95,171.67,168.5,171.05,39590080.0,2017,12,1,13503,1
79,170.43,172.14,168.44,171.85,40172368.0,2017,11,30,13502,1
80,172.63,172.92,167.16,169.48,40788324.0,2017,11,29,13501,0
81,174.3,174.87,171.86,173.07,25468442.0,2017,11,28,13500,0
82,175.05,175.08,173.34,174.09,20536313.0,2017,11,27,13499,0
83,175.1,175.5,174.6459,174.97,14026519.0,2017,11,24,13496,0
84,173.36,175.0,173.05,174.96,24997274.0,2017,11,22,13494,1
85,170.78,173.7,170.78,173.14,24875471.0,2017,11,21,13493,1
86,170.29,170.56,169.56,169.98,15974387.0,2017,11,20,13492,0
87,171.04,171.39,169.64,170.15,21665811.0,2017,11,17,13489,0
88,171.18,171.87,170.3,171.1,23497326.0,2017,11,16,13488,0
89,169.97,170.3197,168.38,169.08,28702351.0,2017,11,15,13487,0
90,173.04,173.48,171.18,171.34,23588451.0,2017,11,14,13486,0
91,173.5,174.5,173.4,173.97,16828025.0,2017,11,13,13485,1
92,175.11,175.38,174.27,174.67,25061183.0,2017,11,10,13482,0
93,175.11,176.095,173.14,175.88,28636531.0,2017,11,9,13481,1
94,173.91,175.25,173.6,174.81,23910914.0,2017,11,7,13479,1
95,172.365,174.99,171.72,174.25,34242566.0,2017,11,6,13478,1
96,174.0,174.26,171.12,172.5,58683826.0,2017,11,3,13475,0
97,167.64,168.5,165.28,168.11,32710040.0,2017,11,2,13474,1
